Sp.Scien.jetz,Sp.Eng.jetz,Sp.Scien.hbw,Sp.Eng.hbw,Match_jetz_birdlife,Order,strategy_3,distance_4,distance_quanti_RES0,distance_quanti_ALL
Coeligena_coeligena,Bronzy-Inca,Coeligena_coeligena,Bronzy-Inca,Coeligena_coeligena,CAPRIMULGIFORMES,resident,resident,0,343.327596535946
Coeligena_helianthea,Blue-throated-Starfrontlet,Coeligena_helianthea,Blue-throated-Starfrontlet,Coeligena_helianthea,CAPRIMULGIFORMES,resident,resident,0,66.61533761813
Coeligena_iris,Rainbow-Starfrontlet,Coeligena_iris,Rainbow-Starfrontlet,Coeligena_iris,CAPRIMULGIFORMES,resident,resident,0,92.1502956428869
Coeligena_lutetiae,Buff-winged-Starfrontlet,Coeligena_lutetiae,Buff-winged-Starfrontlet,Coeligena_lutetiae,CAPRIMULGIFORMES,resident,resident,0,104.579915805483
Coeligena_orina,Dusky-Starfrontlet,Coeligena_orina,Glittering-Starfrontlet,Coeligena_orina,CAPRIMULGIFORMES,resident,resident,0,0
Coeligena_phalerata,White-tailed-Starfrontlet,Coeligena_phalerata,White-tailed-Starfrontlet,Coeligena_phalerata,CAPRIMULGIFORMES,resident,resident,0,18.4355075199204
Coeligena_prunellei,Black-Inca,Coeligena_prunellei,Black-Inca,Coeligena_prunellei,CAPRIMULGIFORMES,resident,resident,0,36.9034544839232
Coeligena_torquata,Collared-Inca,Coeligena_torquata,Collared-Inca,Coeligena_torquata,CAPRIMULGIFORMES,resident,resident,0,224.413467370201
Coeligena_violifer,Violet-throated-Starfrontlet,Coeligena_violifer,Bolivian-Starfrontlet,Coeligena_violifer,CAPRIMULGIFORMES,resident,resident,0,64.9280498166491
Coeligena_wilsoni,Brown-Inca,Coeligena_wilsoni,Brown-Inca,Coeligena_wilsoni,CAPRIMULGIFORMES,resident,resident,0,92.3205718996483
Coenocorypha_aucklandica,New-Zealand-Snipe,Coenocorypha_aucklandica,Auckland-Snipe,Coenocorypha_aucklandica,CHARADRIIFORMES,resident,resident,0,18.5405291695842
Coenocorypha_pusilla,Chatham-Snipe,Coenocorypha_pusilla,Chatham-Snipe,Coenocorypha_pusilla,CHARADRIIFORMES,resident,resident,0,0
Coereba_flaveola,Bananaquit,Coereba_flaveola,Bananaquit,Coereba_flaveola,PASSERIFORMES,resident,resident,0,934.496006476818
Colaptes_atricollis,Black-necked-Woodpecker,Colaptes_atricollis,Black-necked-Woodpecker,Colaptes_atricollis,PICIFORMES,resident,resident,0,139.851069886342
Colaptes_auratus,Northern-Flicker,Colaptes_auratus,Yellow-shafted-Flicker,Colaptes_auratus,PICIFORMES,partial_mig,variable,1570.41367653698,1570.41367653698
Colaptes_auricularis,Grey-crowned-Woodpecker,Colaptes_auricularis,Grey-crowned-Woodpecker,Colaptes_auricularis,PICIFORMES,resident,resident,0,165.982248244271
Colaptes_campestris,Campo-Flicker,Colaptes_campestris,Campo-Flicker,Colaptes_campestris,PICIFORMES,resident,resident,0,553.599245065983
Colaptes_chrysoides,Gilded-Flicker,Colaptes_chrysoides,Gilded-Flicker,Colaptes_chrysoides,PICIFORMES,resident,resident,0,188.649986910901
Colaptes_fernandinae,Fernandinas-Flicker,Colaptes_fernandinae,Fernandinas-Flicker,Colaptes_fernandinae,PICIFORMES,resident,resident,0,40.7166731222608
Colaptes_melanochloros,Green-barred-Woodpecker,Colaptes_melanochloros,Green-barred-Woodpecker,Colaptes_melanochloros,PICIFORMES,resident,resident,0,555.112218693237
Colaptes_pitius,Chilean-Flicker,Colaptes_pitius,Chilean-Flicker,Colaptes_pitius,PICIFORMES,resident,resident,0,199.94167792753
Colaptes_punctigula,Spot-breasted-Woodpecker,Colaptes_punctigula,Spot-breasted-Woodpecker,Colaptes_punctigula,PICIFORMES,resident,resident,0,566.681986526911
Colaptes_rivolii,Crimson-mantled-Woodpecker,Colaptes_rivolii,Crimson-mantled-Woodpecker,Colaptes_rivolii,PICIFORMES,resident,resident,0,261.891268201479
